cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics
1603923,Weatherford International plc,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,0,1,WFRD,Nasdaq,980606750.0,,,,Large accelerated filer,1231.0,,,713.836.4000,,70 SIR JOHN ROGERSON'S QUAY,,DUBLIN,L2,2,Ireland,2000 ST. JAMES PLACE,,HOUSTON,TX,77056,TX,{333132}
1838413,Full Truck Alliance Co. Ltd.,other,7372.0,Services-Prepackaged Software,06 Technology,0,0,YMM,NYSE,0.0,,,,Large accelerated filer,1231.0,E9,Cayman Islands,86-025-66920156,,"BUILDING #3, WANBO R&D PARK","20 FENGXIN ROAD, YUHUATAI DISTRICT","NANJING, JIANGSU PROVINCE",F4,210012,China,"BUILDING #3, WANBO R&D PARK","20 FENGXIN ROAD, YUHUATAI DISTRICT","NANJING, JIANGSU PROVINCE",F4,210012,China,"{511210, 334614}"
813828,Paramount Global,operating,4833.0,Television Broadcasting Stations,06 Technology,1,1,"PARA,PARAA","Nasdaq,Nasdaq",42949533.0,,,,Large accelerated filer,1231.0,DE,DE,212-258-6000,,1515 BROADWAY,,NEW YORK,NY,10036,NY,1515 BROADWAY,,NEW YORK,NY,10036,NY,{515120}
936395,CIENA CORP,operating,3661.0,Telephone & Telegraph Apparatus,04 Manufacturing,1,1,CIEN,NYSE,232725311.0,,,,Large accelerated filer,1102.0,DE,DE,4108658500,,7035 RIDGE ROAD,,HANOVER,MD,21076,MD,7035 RIDGE ROAD,,HANOVER,MD,21076,MD,"{334210, 334418}"
1701732,Altair Engineering Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,ALTR,Nasdaq,382591828.0,,,,Large accelerated filer,1231.0,DE,DE,248-614-2400,,1820 E. BIG BEAVER ROAD,,TROY,MI,48083,MI,1820 E. BIG BEAVER ROAD,,TROY,MI,48083,MI,"{511210, 334614}"
1717115,"Tempus AI, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,1,1,TEM,Nasdaq,474903308.0,,,,<br>Emerging growth company,1231.0,DE,DE,800-976-5448,,600 WEST CHICAGO AVENUE,SUITE 510,CHICAGO,IL,60654,IL,600 WEST CHICAGO AVENUE,SUITE 510,CHICAGO,IL,60654,IL,"{518210, 541511}"
1493594,"MACOM Technology Solutions Holdings, Inc.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MTSI,Nasdaq,270306875.0,,,,Large accelerated filer,927.0,DE,DE,(978) 656-2500,,100 CHELMSFORD STREET,,LOWELL,MA,01851,MA,100 CHELMSFORD STREET,,LOWELL,MA,01851,MA,{334413}
772406,"CIRRUS LOGIC, INC.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,CRUS,Nasdaq,770024818.0,,,,Large accelerated filer,329.0,DE,DE,512-851-4000,,800 WEST 6TH STREET,,AUSTIN,TX,78701,TX,800 WEST 6TH STREET,,AUSTIN,TX,78701,TX,{334413}
769520,MIDDLEBY Corp,operating,3580.0,Refrigeration & Service Industry Machinery,06 Technology,0,1,MIDD,Nasdaq,363352497.0,,,,Large accelerated filer,1228.0,DE,DE,8477413300,,1400 TOASTMASTER DRIVE,,ELGIN,IL,60120,IL,1400 TOASTMASTER DRIVE,,ELGIN,IL,60120,IL,{333415}
1092699,SPS COMMERCE INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,SPSC,Nasdaq,411593154.0,,,,Large accelerated filer,1231.0,DE,DE,612-435-9400,,333 SOUTH SEVENTH STREET,SUITE 1000,MINNEAPOLIS,MN,55402,MN,333 SOUTH SEVENTH STREET,SUITE 1000,MINNEAPOLIS,MN,55402,MN,"{511210, 334614}"
1144215,ACUITY BRANDS INC,operating,3640.0,Electric Lighting & Wiring Equipment,04 Manufacturing,1,1,AYI,NYSE,582632672.0,,,,Large accelerated filer,831.0,DE,DE,404-853-1400,,1170 PEACHTREE STREET NE,SUITE 1200,ATLANTA,GA,30309,GA,1170 PEACHTREE STREET NE,SUITE 1200,ATLANTA,GA,30309,GA,"{335121, 335122}"
1583708,"SentinelOne, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,S,NYSE,990385461.0,,,,Large accelerated filer,131.0,DE,DE,855-868-3733,,444 CASTRO STREET,SUITE 400,MOUNTAIN VIEW,CA,94041,CA,444 CASTRO STREET,SUITE 400,MOUNTAIN VIEW,CA,94041,CA,"{511210, 334614}"
1467623,"DROPBOX, INC.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,DBX,Nasdaq,260138832.0,,,,Large accelerated filer,1231.0,DE,DE,415-986-7057,,"1800 OWENS STREET, SUITE 200",,SAN FRANCISCO,CA,94158,CA,"1800 OWENS STREET, SUITE 200",,SAN FRANCISCO,CA,94158,CA,"{511210, 334614}"
1653482,Gitlab Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,GTLB,Nasdaq,471861035.0,,,,Large accelerated filer,131.0,DE,DE,650-474-5175,,268 BUSH STREET,#350,SAN FRANCISCO,CA,94104,CA,268 BUSH STREET,#350,SAN FRANCISCO,CA,94104,CA,"{511210, 334614}"
1868778,Informatica Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,INFA,NYSE,611999534.0,,,,Large accelerated filer,1231.0,,,650-385-5000,,2100 SEAPORT BLVD.,,REDWOOD CITY,CA,94063,CA,2100 SEAPORT BLVD.,,REDWOOD CITY,CA,94063,CA,"{511210, 334614}"
1560385,Liberty Media Corp,operating,4833.0,Television Broadcasting Stations,06 Technology,1,1,"FWONK,FWONA,FWONB,LLYVA,LLYVB,LLYVK","Nasdaq,Nasdaq,OTC,Nasdaq,OTC,Nasdaq",371699499.0,,,,Large accelerated filer,1231.0,DE,DE,720-875-5400,,12300 LIBERTY BOULEVARD,,ENGLEWOOD,CO,80112,CO,12300 LIBERTY BOULEVARD,,ENGLEWOOD,CO,80112,CO,{515120}
824142,"AAON, INC.",operating,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,06 Technology,0,1,AAON,Nasdaq,870448736.0,,,,Large accelerated filer,1231.0,NV,NV,9185832266,,2425 SOUTH YUKON AVE.,,TULSA,OK,74107,OK,2425 SOUTH YUKON AVE.,,TULSA,OK,74107,OK,{333415}
1699838,"Confluent, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CFLT,Nasdaq,471824387.0,,,,Large accelerated filer,1231.0,DE,DE,800-439-3207,,899 W. EVELYN AVENUE,,MOUNTAIN VIEW,CA,94041,CA,899 W. EVELYN AVENUE,,MOUNTAIN VIEW,CA,94041,CA,"{511210, 334614}"
1021860,NOV Inc.,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,1,1,NOV,NYSE,760475815.0,,,,Large accelerated filer,1231.0,DE,DE,346-223-3000,,10353 RICHMOND AVE.,,HOUSTON,TX,77042,TX,10353 RICHMOND AVE.,,HOUSTON,TX,77042,TX,{333132}
88205,"SPX Technologies, Inc.",operating,3540.0,Metalworkg Machinery & Equipment,06 Technology,1,1,SPXC,NYSE,381016240.0,,,,Large accelerated filer,1231.0,DE,DE,980-474-3700,,6325 ARDREY KELL ROAD,SUITE 400,CHARLOTTE,NC,28277,NC,6325 ARDREY KELL ROAD,SUITE 400,CHARLOTTE,NC,28277,NC,{333519}
20520,"Frontier Communications Parent, Inc.",operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,FYBR,Nasdaq,862359749.0,,,,Large accelerated filer,1231.0,,,2036145600,,1919 MCKINNEY AVENUE,,DALLAS,TX,75201,TX,1919 MCKINNEY AVENUE,,DALLAS,TX,75201,TX,"{517911, 517311}"
892450,KT CORP,other,4813.0,Telephone Communications (No Radiotelephone),06 Technology,0,0,KT,NYSE,0.0,,,,Large accelerated filer,1231.0,,,82-31-727-0114,,"KT GWANGHWAMUN BUILDING EAST,","33 JONGNO-3-GIL, JONGNO-GU,","SEOUL, 110-130, KOREA M5",M5,110-130,"Korea, Republic of","206 JUNGJA DONG, BUNDANG GU,","SUNGNAM, KYUNGGI DO, 463-711,",KOREA M5,M5,463-711,"Korea, Republic of","{517911, 517311}"
1570585,Liberty Global Ltd.,operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,"LBTYA,LBTYB,LBTYK","Nasdaq,Nasdaq,Nasdaq",981750381.0,,,,Large accelerated filer,1231.0,,,303-220-6600,,"1550 WEWATTA ST,",SUITE 1000,DENVER,CO,80202,CO,"CLARENDON HOUSE,",2 CHURCH STREET,HAMILTON,D0,HM 11,Bermuda,"{515210, 517311}"
1720671,"HashiCorp, Inc.",operating,7371.0,Services-Computer Programming Services,06 Technology,0,1,HCP,Nasdaq,320410665.0,,,,Large accelerated filer,131.0,DE,DE,415-301-3227,,"101 2ND STREET, SUITE 700",,SAN FRANCISCO,CA,94105,CA,"101 2ND STREET, SUITE 700",,SAN FRANCISCO,CA,94105,CA,{541511}
1366561,SMARTSHEET INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,SMAR,NYSE,202954357.0,,,,Large accelerated filer,131.0,WA,WA,844-324-2360,,500 108TH AVE NE,SUITE 200,BELLEVUE,WA,98004,WA,500 108TH AVE NE,SUITE 200,BELLEVUE,WA,98004,WA,"{511210, 334614}"
1513845,Nebius Group N.V.,other,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,0,NBIS,Nasdaq,0.0,,,,Large accelerated filer,,P7,Netherlands,31202066970,,SCHIPHOL BOULEVARD 165,,SCHIPHOL,P7,1118 BG,Netherlands,SCHIPHOL BOULEVARD 165,,SCHIPHOL,P7,1118 BG,Netherlands,"{518210, 541511}"
851205,COGNEX CORP,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,CGNX,Nasdaq,42713778.0,,,,Large accelerated filer,1231.0,MA,MA,5086503000,,ONE VISION DRIVE,,NATICK,MA,01760,MA,ONE VISION DR,,NATICK,MA,01760,MA,{334513}
1734722,"UiPath, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,PATH,NYSE,474333187.0,,,,Large accelerated filer,131.0,DE,DE,(844) 432-0455,,ONE VANDERBILT AVENUE,60TH FLOOR,NEW YORK,NY,10017,NY,ONE VANDERBILT AVENUE,60TH FLOOR,NEW YORK,NY,10017,NY,"{511210, 334614}"
855658,LATTICE SEMICONDUCTOR CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,LSCC,Nasdaq,930835214.0,,,,Large accelerated filer,1228.0,DE,DE,5032688000,,5555 NE MOORE CT,,HILLSBORO,OR,97124,OR,5555 NE MOORE CT,,HILLSBORO,OR,97124,OR,{334413}
1071321,TURKCELL ILETISIM HIZMETLERI A S,other,4813.0,Telephone Communications (No Radiotelephone),06 Technology,0,0,TKC,NYSE,0.0,,,,Large accelerated filer,1231.0,W8,Turkey,902123131244,,AYDINEVLER MAHALLESI INONU CADDESI NO 20,"KUCUKYALI OFISPARK, MALTEPE",ISTANBUL,W8,34854,Turkey,AYDINEVLER MAHALLESI INONU CADDESI NO 20,"KUCUKYALI OFISPARK, MALTEPE",ISTANBUL,W8,34854,Turkey,"{517911, 517311}"
1516513,"Doximity, Inc.",operating,7371.0,Services-Computer Programming Services,06 Technology,0,1,DOCS,NYSE,272485512.0,,,,Large accelerated filer,331.0,DE,DE,(650) 549-4330,,500 THIRD STREET,,SAN FRANCISCO,CA,94107,CA,500 THIRD STREET,,SAN FRANCISCO,CA,94107,CA,{541511}
937556,MASIMO CORP,operating,3845.0,Electromedical & Electrotherapeutic Apparatus,08 Industrial Applications and Services,1,1,MASI,Nasdaq,330368882.0,,,,Large accelerated filer,1228.0,DE,DE,949-297-7000,,52 DISCOVERY,,IRVINE,CA,92618,CA,52 DISCOVERY,,IRVINE,CA,92618,CA,"{334517, 334510}"
880266,AGCO CORP /DE,operating,3523.0,Farm Machinery & Equipment,06 Technology,0,1,AGCO,NYSE,581960019.0,,,,Large accelerated filer,1231.0,DE,DE,7708139200,,4205 RIVER GREEN PARKWAY,,DULUTH,GA,30096,GA,4205 RIVER GREEN PKWAY,,DULUTH,GA,30096,GA,"{332216, 333922, 332323, 333111}"
1169561,COMMVAULT SYSTEMS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CVLT,Nasdaq,0.0,,,,Large accelerated filer,331.0,DE,DE,732-870-4000,,1 COMMVAULT WAY,,TINTON FALLS,NJ,07724,NJ,1 COMMVAULT WAY,,TINTON FALLS,NJ,07724,NJ,"{511210, 334614}"
1818201,CCC Intelligent Solutions Holdings Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CCCS,Nasdaq,0.0,,,,Large accelerated filer,1231.0,E9,Cayman Islands,(800) 621-8070,,167 N. GREEN STREET,9TH FLOOR,CHICAGO,IL,60607,IL,167 N. GREEN STREET,9TH FLOOR,CHICAGO,IL,60607,IL,"{511210, 334614}"
1810806,Unity Software Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,U,NYSE,270334803.0,,,,Large accelerated filer,1231.0,DE,DE,415-539-3162,,30 - 3RD STREET,,SAN FRANCISCO,CA,94103,CA,30 - 3RD STREET,,SAN FRANCISCO,CA,94103,CA,"{511210, 334614}"
1076930,NOVANTA INC,operating,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",04 Manufacturing,1,1,NOVT,Nasdaq,980110412.0,,,,Large accelerated filer,1231.0,A3,"New Brunswick, Canada",781-266-5618,,125 MIDDLESEX TURNPIKE,.,BEDFORD,MA,01730,MA,125 MIDDLESEX TURNPIKE,.,BEDFORD,MA,01730,MA,"{333618, 333318, 333992, 335129, 335999}"
1571123,Science Applications International Corp,operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,SAIC,Nasdaq,461932921.0,,,,Large accelerated filer,131.0,DE,DE,703-676-4300,,12010 SUNSET HILLS ROAD,,RESTON,VA,20190,VA,12010 SUNSET HILLS ROAD,,RESTON,VA,20190,VA,{541512}
1736297,"Astera Labs, Inc.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,ALAB,Nasdaq,823437062.0,,,,Non-accelerated filer<br>Emerging growth company,1231.0,DE,DE,408-242-7319,,2901 TASMAN DR. SUITE 205,,SANTA CLARA,CA,95054,CA,2901 TASMAN DR. SUITE 205,,SANTA CLARA,CA,95054,CA,{334413}
30625,FLOWSERVE CORP,operating,3561.0,Pumps & Pumping Equipment,06 Technology,0,1,FLS,NYSE,310267900.0,,,,Large accelerated filer,1231.0,NY,NY,9724436500,,5215 N. O'CONNOR BLVD.,SUITE 700,IRVING,TX,75039,TX,5215 N. O'CONNOR BLVD.,SUITE 700,IRVING,TX,75039,TX,{333914}
1496963,"Squarespace, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,SQSP,NYSE,200375811.0,,,,Large accelerated filer,1231.0,DE,DE,(646) 580-3456,,"225 VARICK STREET, 12TH FLOOR",,NEW YORK,NY,10014,NY,"225 VARICK STREET, 12TH FLOOR",,NEW YORK,NY,10014,NY,"{511210, 334614}"
1842827,Kanzhun Ltd,other,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,0,BZ,Nasdaq,0.0,,,,Large accelerated filer,1231.0,E9,Cayman Islands,86-10-8415-0633,,GRANDYVIC BLDG,"TAIYANGGONG MID RD, CHAOYANG DIST",BEIJING,F4,100020,China,GRANDYVIC BLDG,"TAIYANGGONG MID RD, CHAOYANG DIST",BEIJING,F4,100020,China,"{518210, 541511}"
1828108,"Aurora Innovation, Inc.",operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,"AUR,AUROW","Nasdaq,Nasdaq",981562265.0,,,,Large accelerated filer,1231.0,DE,DE,(888) 583-9506,,50 33RD ST,,PITTSBURGH,PA,15201,PA,1654 SMALLMAN ST.,,PITTSBURGH,PA,15222,PA,{541512}
1361113,VARONIS SYSTEMS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,VRNS,Nasdaq,571222280.0,,,,Large accelerated filer,1231.0,DE,DE,877-292-8767,,"1250 BROADWAY, 31ST FLOOR",,NEW YORK,NY,10001,NY,"1250 BROADWAY, 31ST FLOOR",,NEW YORK,NY,10001,NY,"{511210, 334614}"
1943896,"Rubrik, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,RBRK,NYSE,464560494.0,,,,Non-accelerated filer<br>Emerging growth company,131.0,DE,DE,8444782745,,3495 DEER CREEK ROAD,,PALO ALTO,CA,94304,CA,3495 DEER CREEK ROAD,,PALO ALTO,CA,94304,CA,"{511210, 334614}"
67887,MOOG INC.,operating,3590.0,Misc Industrial & Commercial Machinery & Equipment,06 Technology,0,1,"MOG-A,MOG-B","NYSE,NYSE",160757636.0,,,,Large accelerated filer,928.0,NY,NY,716 652 2000,,400 JAMISON ROAD,,EAST AURORA,NY,14052,NY,400 JAMISON ROAD,,EAST AURORA,NY,14052,NY,"{332710, 336390, 333318, 332999, 332813, 333999}"
1877322,ESAB Corp,operating,3569.0,"General Industrial Machinery & Equipment, NEC",06 Technology,0,1,ESAB,NYSE,870923837.0,,,,Large accelerated filer,1231.0,DE,DE,(302) 252-9160,,909 ROSE AVENUE,8TH FLOOR,NORTH BETHESDA,MD,20852,MD,909 ROSE AVENUE,8TH FLOOR,NORTH BETHESDA,MD,20852,MD,"{333999, 333414, 314999}"
1723089,ChampionX Corp,operating,3530.0,"Construction, Mining & Materials Handling Machinery & Equip",06 Technology,0,1,CHX,Nasdaq,823066826.0,,,,Large accelerated filer,1231.0,DE,DE,(281) 403-5772,,2445 TECHNOLOGY FOREST BLVD,"BUILDING 4, FLOOR 12",THE WOODLANDS,TX,77381,TX,2445 TECHNOLOGY FOREST BLVD,"BUILDING 4, FLOOR 12",THE WOODLANDS,TX,77381,TX,{333131}
78150,PLDT Inc.,other,4813.0,Telephone Communications (No Radiotelephone),06 Technology,0,0,"PHI,PHTCF","NYSE,OTC",0.0,,,,Large accelerated filer,1231.0,,,0116328168553,,RAMON CONJUANGCO BLDG,MAKATI AVE,MAKATI METRO MANILA,R6,0721,Philippines,RAMON CONJUANGCO BLDG,MAKATI AVE,MAKATI METRO MANILA,R6,0721,Philippines,"{517911, 517311}"
18926,"Lumen Technologies, Inc.",operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,LUMN,NYSE,720651161.0,,,,Large accelerated filer,1231.0,LA,LA,3183889000,,100 CENTURYLINK DR,P O BOX 4065,MONROE,LA,71203,LA,P O BOX 4065,100 CENTURYLINK DR,MONROE,LA,71203,LA,"{517911, 517311}"
98362,TIMKEN CO,operating,3562.0,Ball & Roller Bearings,06 Technology,1,1,TKR,NYSE,340577130.0,,,,Large accelerated filer,1231.0,OH,OH,(234) 262-3000,,4500 MT. PLEASANT ST. NW,,NORTH CANTON,OH,44720-5450,OH,4500 MT. PLEASANT ST. NW,,NORTH CANTON,OH,44720-5450,OH,{332991}
1835963,Global-E Online Ltd.,other,7372.0,Services-Prepackaged Software,06 Technology,0,0,GLBE,Nasdaq,0.0,,,,Large accelerated filer,1231.0,L3,Israel,646 503 1290,,25 BASEL STREET,,PETAH,L3,4951038,Israel,25 BASEL STREET,,PETAH,L3,4951038,Israel,"{511210, 334614}"
1866368,"Clearwater Analytics Holdings, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CWAN,NYSE,0.0,,,,Large accelerated filer,1231.0,DE,DE,208-918-2400,,"777 W. MAIN STREET, SUITE 900",,BOISE,ID,83702,ID,"777 W. MAIN STREET, SUITE 900",,BOISE,ID,83702,ID,"{511210, 334614}"
1723690,Bilibili Inc.,other,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,0,"BILI,BLBLF","Nasdaq,OTC",0.0,,,,Large accelerated filer,1231.0,E9,Cayman Islands,86-21-25099255,,"17TH FLOOR, BUILDING 3, GUOZHENG CENTER","NO. 485 ZHENGLI ROAD, YANGPU DISTRICT",SHANGHAI,F4,200433,China,"17TH FLOOR, BUILDING 3, GUOZHENG CENTER","NO. 485 ZHENGLI ROAD, YANGPU DISTRICT",SHANGHAI,F4,200433,China,{518210}
1013857,PEGASYSTEMS INC,operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,1,1,PEGA,Nasdaq,42787865.0,,,,Large accelerated filer,1231.0,MA,MA,6173749600,,ONE MAIN STREET,,CAMBRIDGE,MA,02142-1531,MA,ONE MAIN STREET,,CAMBRIDGE,MA,02142-1531,MA,{518210}
1756262,"TransMedics Group, Inc.",operating,3845.0,Electromedical & Electrotherapeutic Apparatus,08 Industrial Applications and Services,0,1,TMDX,Nasdaq,0.0,,,,Large accelerated filer,1231.0,MA,MA,9785520900,,200 MINUTEMAN ROAD,,ANDOVER,MA,01810,MA,200 MINUTEMAN ROAD,,ANDOVER,MA,01810,MA,"{334517, 334510}"
1806837,"Vertex, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,VERX,Nasdaq,232081753.0,,,,Large accelerated filer,1231.0,DE,DE,(800) 355-3500,,2301 RENAISSANCE BOULEVARD,,KING OF PRUSSIA,PA,19406,PA,2301 RENAISSANCE BOULEVARD,,KING OF PRUSSIA,PA,19406,PA,"{511210, 334614}"
1477294,Sensata Technologies Holding plc,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,ST,NYSE,981386780.0,,,,Large accelerated filer,1231.0,,,508-236-3800,,"INTERFACE HOUSE, INTERFACE BUSINESS PARK","BINCKNOLL LANE, ROYAL WOOTTON BASSETT",SWINDON,X0,SN4 8SY,United Kingdom,"INTERFACE HOUSE, INTERFACE BUSINESS PARK","BINCKNOLL LANE, ROYAL WOOTTON BASSETT",SWINDON,X0,SN4 8SY,United Kingdom,{334513}
1173382,CAE INC,other,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",04 Manufacturing,0,0,CAE,NYSE,0.0,,,,,,,,514-341-6780,,8585 COTE DE LIESSE,,ST-LAURENT,A8,H4T 1G6,"Quebec, Canada",8585 COTE DE LIESSE,,ST-LAURENT,A8,H4T 1G6,"Quebec, Canada","{333618, 333318, 333992, 335129, 335999}"
1867072,"Kyndryl Holdings, Inc.",operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,KD,NYSE,861185492.0,,,,Large accelerated filer,331.0,DE,DE,(212) 896-2098,,ONE VANDERBILT AVENUE,15TH FLOOR,NEW YORK,NY,10017,NY,ONE VANDERBILT AVENUE,15TH FLOOR,NEW YORK,NY,10017,NY,{541512}
1851003,Zeta Global Holdings Corp.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,ZETA,NYSE,800814458.0,,,,Large accelerated filer,1231.0,DE,DE,(212) 967-5055,,3 PARK AVENUE,33RD FLOOR,NEW YORK,NY,10016,NY,3 PARK AVENUE,33RD FLOOR,NEW YORK,NY,10016,NY,"{511210, 334614}"
1439288,Zurn Elkay Water Solutions Corp,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,1,1,ZWS,NYSE,205197013.0,,,,Large accelerated filer,1231.0,DE,DE,414-643-3000,,511 WEST FRESHWATER WAY,,MILWAUKEE,WI,53204,WI,511 WEST FRESHWATER WAY,,MILWAUKEE,WI,53204,WI,"{314999, 333414, 333999}"
1142417,"NEXSTAR MEDIA GROUP, INC.",operating,4833.0,Television Broadcasting Stations,06 Technology,0,1,NXST,Nasdaq,233083125.0,,,,Large accelerated filer,1231.0,DE,DE,972-373-8800,,545 EAST JOHN CARPENTER FREEWAY,SUITE 700,IRVING,TX,75062,TX,545 EAST JOHN CARPENTER FREEWAY,SUITE 700,IRVING,TX,75062,TX,{515120}
1786352,"BILL Holdings, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,BILL,NYSE,832661725.0,,,,Large accelerated filer,630.0,,,(650) 621-7700,,6220 AMERICA CENTER DR.,SUITE 100,SAN JOSE,CA,95002,CA,6220 AMERICA CENTER DR.,SUITE 100,SAN JOSE,CA,95002,CA,"{511210, 334614}"
14930,BRUNSWICK CORP,operating,3510.0,Engines & Turbines,06 Technology,1,1,"BC,BC-PA,BC-PB,BC-PC","NYSE,NYSE,NYSE,NYSE",360848180.0,,,,Large accelerated filer,1231.0,DE,DE,8477354700,,26125 N. RIVERWOODS BLVD. SUITE 500,,METTAWA,IL,60045-3420,IL,26125 N. RIVERWOODS BLVD. SUITE 500,,METTAWA,IL,60045-3420,IL,"{333618, 333611, 336390}"
1807794,Credo Technology Group Holding Ltd,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,CRDO,Nasdaq,0.0,,,,Large accelerated filer,429.0,E9,Cayman Islands,(408) 664-9329,,"C/O MAPLES CORPORATE SERVICES, LIMITED","PO BOX 309, UGLAND HOUSE",GRAND CAYMAN,E9,KY1-1104,Cayman Islands,"C/O MAPLES CORPORATE SERVICES, LIMITED","PO BOX 309, UGLAND HOUSE",GRAND CAYMAN,E9,KY1-1104,Cayman Islands,{334413}
917273,RAMBUS INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,RMBS,Nasdaq,943112828.0,,,,Large accelerated filer,1231.0,DE,DE,408-462-8000,,"4453 NORTH FIRST STREET, SUITE 100",,SAN JOSE,CA,95134,CA,"4453 NORTH FIRST STREET, SUITE 100",,SAN JOSE,CA,95134,CA,{334413}
1660280,"Tenable Holdings, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TENB,Nasdaq,475580846.0,,,,Large accelerated filer,1231.0,DE,DE,410-872-0555,,6100 MERRIWEATHER DRIVE,,COLUMBIA,MD,21044,MD,6100 MERRIWEATHER DRIVE,,COLUMBIA,MD,21044,MD,"{511210, 334614}"
1236275,"QXO, Inc.",operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,1,QXO,Nasdaq,161633636.0,,,,Non-accelerated filer<br>Smaller reporting company,1231.0,DE,DE,888-998-6000,,FIVE AMERICAN LANE,,GREENWICH,CT,06831,CT,FIVE AMERICAN LANE,,GREENWICH,CT,06831,CT,{518210}
935036,"ACI WORLDWIDE, INC.",operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ACIW,Nasdaq,470772104.0,,,,Large accelerated filer,1231.0,DE,DE,239-403-4600,,6060 COVENTRY DRIVE,,ELKHORN,NE,68022,NE,6060 COVENTRY DRIVE,,ELKHORN,NE,68022,NE,"{511210, 334614}"
1415404,EchoStar CORP,operating,4899.0,"Communications Services, NEC",06 Technology,1,1,SATS,Nasdaq,261232727.0,,,,Large accelerated filer,1231.0,NV,NV,303-723-1000,,9601 SOUTH MERIDIAN BOULEVARD,,ENGLEWOOD,CO,80112,CO,9601 SOUTH MERIDIAN BOULEVARD,,ENGLEWOOD,CO,80112,CO,"{517312, 517410, 485310, 812990, 517919}"
1764046,CLARIVATE PLC,operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,1,CLVT,NYSE,0.0,,,,Large accelerated filer,1231.0,Y9,Jersey,(207) 433-4000,,70 ST. MARY AXE,,LONDON,X0,EC3A 8BE,United Kingdom,"4TH FLOOR, ST. PAUL'S GATE",22-24 NEW STREET,ST. HELIER,Y9,JE14TR,Jersey,{518210}
